Resume_Text,Job_Title,Job_Fit,input_text
"ML Engineer with over 5 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Designed and implemented a secure network segmentation for financial services client. Conducted root cause analysis on system failures and improved uptime by 15%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client.",Business Analyst,Unfit,"ML Engineer with over 5 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Designed and implemented a secure network segmentation for financial services client. Conducted root cause analysis on system failures and improved uptime by 15%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client. [SEP] Business Analyst"
"Data Analyst with over 8 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client.",Cybersecurity Analyst,Fit,"Data Analyst with over 8 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. [SEP] Cybersecurity Analyst"
"Data Scientist with over 4 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Business Analyst,Fit,"Data Scientist with over 4 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. [SEP] Business Analyst"
"Data Scientist with over 7 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Built and deployed an end-to-end predictive model for retail sales forecasting. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data.",ML Engineer,Unfit,"Data Scientist with over 7 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Built and deployed an end-to-end predictive model for retail sales forecasting. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] ML Engineer"
"Backend Developer with over 6 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Trained transformer-based models for text classification achieving 93% accuracy. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting.",Data Scientist,Fit,"Backend Developer with over 6 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Trained transformer-based models for text classification achieving 93% accuracy. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting. [SEP] Data Scientist"
"Data Analyst with over 4 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases.",Business Analyst,Fit,"Data Analyst with over 4 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. [SEP] Business Analyst"
"Backend Developer with over 6 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Designed and implemented a secure network segmentation for financial services client. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Developed dashboards to monitor key business KPIs and provided actionable insights.",Business Analyst,Fit,"Backend Developer with over 6 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Designed and implemented a secure network segmentation for financial services client. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Developed dashboards to monitor key business KPIs and provided actionable insights. [SEP] Business Analyst"
"Data Scientist with over 2 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases. Worked on cross-functional teams to integrate machine learning models into production APIs.",DevOps Engineer,Unfit,"Data Scientist with over 2 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases. Worked on cross-functional teams to integrate machine learning models into production APIs. [SEP] DevOps Engineer"
"Frontend Developer with over 7 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Built and deployed an end-to-end predictive model for retail sales forecasting. Performed anomaly detection on large-scale time series IoT sensor data. Built and deployed an end-to-end predictive model for retail sales forecasting. Designed and implemented a secure network segmentation for financial services client.",AI Researcher,Unfit,"Frontend Developer with over 7 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Built and deployed an end-to-end predictive model for retail sales forecasting. Performed anomaly detection on large-scale time series IoT sensor data. Built and deployed an end-to-end predictive model for retail sales forecasting. Designed and implemented a secure network segmentation for financial services client. [SEP] AI Researcher"
"ML Engineer with over 5 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%.",Data Scientist,Unfit,"ML Engineer with over 5 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%. [SEP] Data Scientist"
"Backend Developer with over 3 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Performed anomaly detection on large-scale time series IoT sensor data. Conducted root cause analysis on system failures and improved uptime by 15%. Automated CI/CD pipelines and ensured zero downtime during production releases. Conducted root cause analysis on system failures and improved uptime by 15%.",Cloud Engineer,Fit,"Backend Developer with over 3 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Performed anomaly detection on large-scale time series IoT sensor data. Conducted root cause analysis on system failures and improved uptime by 15%. Automated CI/CD pipelines and ensured zero downtime during production releases. Conducted root cause analysis on system failures and improved uptime by 15%. [SEP] Cloud Engineer"
"Frontend Developer with over 2 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Developed dashboards to monitor key business KPIs and provided actionable insights. Trained transformer-based models for text classification achieving 93% accuracy.",Cloud Engineer,Fit,"Frontend Developer with over 2 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Developed dashboards to monitor key business KPIs and provided actionable insights. Trained transformer-based models for text classification achieving 93% accuracy. [SEP] Cloud Engineer"
"Data Scientist with over 6 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Performed anomaly detection on large-scale time series IoT sensor data.",Data Analyst,Fit,"Data Scientist with over 6 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Data Analyst"
"Data Scientist with over 7 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Worked on cross-functional teams to integrate machine learning models into production APIs. Redesigned user interface for customer portal improving usability by 40%. Redesigned user interface for customer portal improving usability by 40%.",Data Analyst,Fit,"Data Scientist with over 7 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Worked on cross-functional teams to integrate machine learning models into production APIs. Redesigned user interface for customer portal improving usability by 40%. Redesigned user interface for customer portal improving usability by 40%. [SEP] Data Analyst"
"ML Engineer with over 6 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data.",ML Engineer,Fit,"ML Engineer with over 6 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] ML Engineer"
"Frontend Developer with over 4 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights.",Frontend Developer,Fit,"Frontend Developer with over 4 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. [SEP] Frontend Developer"
"AI Researcher with over 6 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Built and deployed an end-to-end predictive model for retail sales forecasting. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%.",Cloud Engineer,Unfit,"AI Researcher with over 6 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Built and deployed an end-to-end predictive model for retail sales forecasting. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%. [SEP] Cloud Engineer"
"Cloud Engineer with over 4 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. Worked on cross-functional teams to integrate machine learning models into production APIs. Built and deployed an end-to-end predictive model for retail sales forecasting.",Business Analyst,Unfit,"Cloud Engineer with over 4 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. Worked on cross-functional teams to integrate machine learning models into production APIs. Built and deployed an end-to-end predictive model for retail sales forecasting. [SEP] Business Analyst"
"Backend Developer with over 2 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data.",Cybersecurity Analyst,Unfit,"Backend Developer with over 2 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Cybersecurity Analyst"
"AI Researcher with over 4 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data.",Data Analyst,Fit,"AI Researcher with over 4 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Data Analyst"
"Cybersecurity Analyst with over 8 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Designed and implemented a secure network segmentation for financial services client. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data.",Business Analyst,Fit,"Cybersecurity Analyst with over 8 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Designed and implemented a secure network segmentation for financial services client. Worked on cross-functional teams to integrate machine learning models into production APIs. Conducted root cause analysis on system failures and improved uptime by 15%. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Business Analyst"
"AI Researcher with over 5 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Trained transformer-based models for text classification achieving 93% accuracy. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Redesigned user interface for customer portal improving usability by 40%.",Cybersecurity Analyst,Unfit,"AI Researcher with over 5 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Built and deployed an end-to-end predictive model for retail sales forecasting. Trained transformer-based models for text classification achieving 93% accuracy. Conducted root cause analysis on system failures and improved uptime by 15%. Conducted root cause analysis on system failures and improved uptime by 15%. Designed and implemented a secure network segmentation for financial services client. Redesigned user interface for customer portal improving usability by 40%. [SEP] Cybersecurity Analyst"
"Cybersecurity Analyst with over 6 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client. Performed anomaly detection on large-scale time series IoT sensor data. Led a project to migrate on-prem systems to AWS cloud infrastructure.",DevOps Engineer,Unfit,"Cybersecurity Analyst with over 6 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client. Performed anomaly detection on large-scale time series IoT sensor data. Led a project to migrate on-prem systems to AWS cloud infrastructure. [SEP] DevOps Engineer"
"AI Researcher with over 8 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Built and deployed an end-to-end predictive model for retail sales forecasting. Built and deployed an end-to-end predictive model for retail sales forecasting. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client.",Frontend Developer,Unfit,"AI Researcher with over 8 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Built and deployed an end-to-end predictive model for retail sales forecasting. Built and deployed an end-to-end predictive model for retail sales forecasting. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. [SEP] Frontend Developer"
"Cloud Engineer with over 5 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Automated CI/CD pipelines and ensured zero downtime during production releases. Built and deployed an end-to-end predictive model for retail sales forecasting. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data.",AI Researcher,Unfit,"Cloud Engineer with over 5 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Automated CI/CD pipelines and ensured zero downtime during production releases. Built and deployed an end-to-end predictive model for retail sales forecasting. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] AI Researcher"
